,101000000010,ABAN OFFSHORE LTD.,0,1,0.05,INE421A01028,0915-1530|1815-1915:1,2023-04-05,Unnamed: 8,NSE:ABAN-EQ,10,10.1,10.2,ABAN,10.3,-1.0,XX,101000000010.1,None
0,1010000000100,AMARA RAJA BATTERIES LTD.,0,1,0.05,INE885A01032,0915-1530|1815-1915:1,2023-04-05,,NSE:AMARAJABAT-EQ,10,10,100,AMARAJABAT,100,-1.0,XX,1010000000100,None
1,10100000001000,SDL MH 6.56% 2032,4,1,0.01,IN2220200306,0915-1530|1815-1915:1,2023-04-05,,NSE:656MH32-SG,10,10,1000,656MH32,1000,-1.0,XX,10100000001000,None
2,10100000001004,SDL AP 6.79% 2034,4,1,0.01,IN1020200466,0915-1530|1815-1915:1,2023-04-05,,NSE:679AP34-SG,10,10,1004,679AP34,1004,-1.0,XX,10100000001004,None
3,101000000010046,GOI LOAN 7.57% 2033,4,1,0.01,IN0020190065,0915-1530|1815-1915:1,2023-04-05,,NSE:757GS2033-GS,10,10,10046,757GS2033,10046,-1.0,XX,101000000010046,None
4,101000000010051,SBIAMC - SFMP6DD,4,1,0.01,INF200KA1F35,0915-1530|1815-1915:1,2023-04-05,,NSE:SFMP6DD-MF,10,10,10051,SFMP6DD,10051,-1.0,XX,101000000010051,None
5,101000000010052,SBIAMC - SFMP6DR,4,1,0.01,INF200KA1F19,0915-1530|1815-1915:1,2023-04-05,,NSE:SFMP6DR-MF,10,10,10052,SFMP6DR,10052,-1.0,XX,101000000010052,None
6,101000000010055,SBIAMC - SFMP6GD,4,1,0.01,INF200KA1F27,0915-1530|1815-1915:1,2023-04-05,,NSE:SFMP6GD-MF,10,10,10055,SFMP6GD,10055,-1.0,XX,101000000010055,None
7,10100000001006,SDL KA 6.75% 2035,4,1,0.01,IN1920200384,0915-1530|1815-1915:1,2023-04-05,,NSE:675KA35-SG,10,10,1006,675KA35,1006,-1.0,XX,10100000001006,None
8,101000000010060,SBIAMC - SFMP6GR,4,1,0.01,INF200KA1F01,0915-1530|1815-1915:1,2023-04-05,,NSE:SFMP6GR-MF,10,10,10060,SFMP6GR,10060,-1.0,XX,101000000010060,None
9,10100000001007,SDL PN 6.79% 2035,4,1,0.01,IN2820200144,0915-1530|1815-1915:1,2023-04-05,,NSE:679PN35-SG,10,10,1007,679PN35,1007,-1.0,XX,10100000001007,None
10,101000000010074,EMAMI PAPER MILLS LIMITED,0,1,0.05,INE830C01026,0915-1530|1815-1915:1,2023-04-05,,NSE:EMAMIPAP-EQ,10,10,10074,EMAMIPAP,10074,-1.0,XX,101000000010074,None
11,10100000001008,FACT LTD,0,1,0.05,INE188A01015,0915-1530|1815-1915:1,2023-04-05,,NSE:FACT-EQ,10,10,1008,FACT,1008,-1.0,XX,10100000001008,None
12,10100000001009,SDL JK 6.8% 2035,4,1,0.01,IN4920200107,0915-1530|1815-1915:1,2023-04-05,,NSE:68JK35-SG,10,10,1009,68JK35,1009,-1.0,XX,10100000001009,None
13,101000000010097,GUJARAT RAFFIA INDUST LTD,0,1,0.05,INE610B01024,0915-1530|1815-1915:1,2023-04-05,,NSE:GUJRAFFIA-BE,10,10,10097,GUJRAFFIA,10097,-1.0,XX,101000000010097,None
14,101000000010099,GODREJ CONSUMER PRODUCTS,0,1,0.05,INE102D01028,0915-1530|1815-1915:1,2023-04-05,,NSE:GODREJCP-EQ,10,10,10099,GODREJCP,10099,-1.0,XX,101000000010099,None
15,10100000001011,SCHAEFFLER INDIA LIMITED,0,1,0.05,INE513A01022,0915-1530|1815-1915:1,2023-04-05,,NSE:SCHAEFFLER-EQ,10,10,1011,SCHAEFFLER,1011,-1.0,XX,10100000001011,None
16,10100000001012,SDL MP 6.76% 2040,4,1,0.01,IN2120200208,0915-1530|1815-1915:1,2023-04-05,,NSE:676MP40-SG,10,10,1012,676MP40,1012,-1.0,XX,10100000001012,None
17,10100000001015,SDL WB 6.88% 2040,4,1,0.01,IN3420200146,0915-1530|1815-1915:1,2023-04-05,,NSE:688WB40-SG,10,10,1015,688WB40,1015,-1.0,XX,10100000001015,None
18,101000000010159,ORICON ENTERPRISES LTD,0,1,0.05,INE730A01022,0915-1530|1815-1915:1,2023-04-05,,NSE:ORICONENT-EQ,10,10,10159,ORICONENT,10159,-1.0,XX,101000000010159,None
19,101000000010176,SBI-ETF NIFTY 50,4,1,0.01,INF200KA1FS1,0915-1530|1815-1915:1,2023-04-05,,NSE:SETFNIF50-EQ,10,10,10176,SETFNIF50,10176,-1.0,XX,101000000010176,None
20,10100000001018,SDL TS 6.8% 2050,4,1,0.01,IN4520200200,0915-1530|1815-1915:1,2023-04-05,,NSE:68TS50-SG,10,10,1018,68TS50,1018,-1.0,XX,10100000001018,None
21,101000000010181,BALKRISHNA PAPER MILLS L,0,1,0.05,INE875R01011,0915-1530|1815-1915:1,2023-04-05,,NSE:BALKRISHNA-EQ,10,10,10181,BALKRISHNA,10181,-1.0,XX,101000000010181,None
22,101000000010188,SHYAM CENTURY FERROUS LTD,0,1,0.05,INE979R01011,0915-1530|1815-1915:1,2023-04-05,,NSE:SHYAMCENT-EQ,10,10,10188,SHYAMCENT,10188,-1.0,XX,101000000010188,None
23,101000000010190,SDL TN 7.81% 2052,4,1,0.01,IN3120220055,0915-1530|1815-1915:1,2023-04-05,,NSE:781TN52-SG,10,10,10190,781TN52,10190,-1.0,XX,101000000010190,None
24,101000000010195,SDL AS 7.53% 2027,4,1,0.01,IN1220220025,0915-1530|1815-1915:1,2023-04-05,,NSE:753AS27-SG,10,10,10195,753AS27,10195,-1.0,XX,101000000010195,None
25,101000000010196,SDL GJ 7.82% 2032,4,1,0.01,IN1520220030,0915-1530|1815-1915:1,2023-04-05,,NSE:782GJ32-SG,10,10,10196,782GJ32,10196,-1.0,XX,101000000010196,None
26,101000000010197,SDL AS 7.85% 2032,4,1,0.01,IN1220220033,0915-1530|1815-1915:1,2023-04-05,,NSE:785AS32-SG,10,10,10197,785AS32,10197,-1.0,XX,101000000010197,None
