symbol,past,latest,output
ADANIENT,1714.0,4047.9,Yes
ADANIPORTS,741.3,890.95,Yes
APOLLOHOSP,5843.8,4638.0,No
ASIANPAINT,3260.0,3117.0,No
AXISBANK,716.0,945.2,Yes
BAJAJ-AUTO,3594.9,3627.9,Yes
BAJFINANCE,7697.7,6695.3,No
BAJAJFINSV,1847.2,1610.0,No
BPCL,415.65,351.0,No
BHARTIARTL,723.45,832.7,Yes
BRITANNIA,3644.8,4477.15,Yes
CIPLA,907.0,1108.0,Yes
COALINDIA,157.75,229.9,Yes
DIVISLAB,4809.3,3380.0,No
DRREDDY,4767.7,4458.85,No
EICHERMOT,2698.65,3347.3,Yes
GRASIM,1811.95,1790.1,No
HCLTECH,1155.0,1046.45,No
HDFCBANK,1543.5,1645.1,Yes
HDFCLIFE,715.0,585.7,No
HEROMOTOCO,2763.0,2767.65,Yes
HINDALCO,454.0,462.75,Yes
HINDUNILVR,2406.35,2687.7,Yes
HDFC,2964.05,2678.2,No
ICICIBANK,767.5,913.7,Yes
ITC,243.0,338.9,Yes
INDUSINDBK,1042.0,1248.8,Yes
INFY,1789.45,1549.5,No
JSWSTEEL,666.9,747.55,Yes
KOTAKBANK,2062.45,1856.95,No
LT,1954.0,2211.6,Yes
M&M,955.0,1287.0,Yes
MARUTI,8368.0,8588.0,Yes
NTPC,137.6,173.1,Yes
NESTLEIND,19488.8,19860.0,Yes
ONGC,157.0,150.5,No
POWERGRID,194.45,218.2,Yes
RELIANCE,2489.0,2618.8,Yes
SBILIFE,1205.0,1278.75,Yes
SBIN,506.2,615.6,Yes
SUNPHARMA,794.35,1005.1,Yes
TCS,3520.85,3292.0,No
TATACONSUM,843.0,804.95,No
TATAMOTORS,534.2,427.8,No
TATASTEEL,122.83,112.1,No
TECHM,1624.75,1033.5,No
UPL,761.9,774.15,Yes
ULTRACEMCO,7930.0,7164.8,No
WIPRO,665.95,394.8,No
