,tradeNumber,orderNumber,tradedQty,tradePrice,tradeValue,productType,clientId,exchangeOrderNo,orderType,side,symbol,row,orderDateTime,fyToken,exchange,segment
0,23052900117272-1681043,23052900117272,22,450.0,9900.0,CNC,XR29657,1000000009449213,2,-1,NSE:BANKBEES-EQ,1685338291,29-May-2023 11:01:31,101000000011439,10,10
1,23052900117210-27013821,23052900117210,4,422.95,1691.8,CNC,XR29657,1100000010945346,2,-1,NSE:HINDALCO-EQ,1685338284,29-May-2023 11:01:24,10100000001363,10,10
2,23052900169796-77815114,23052900169796,47,108.3,5090.099999999999,CNC,XR29657,1300000012913250,2,-1,NSE:TATASTEEL-EQ,1685344160,29-May-2023 12:39:20,10100000003499,10,10
3,23052900139533-1987699,23052900139533,35,243.45,8520.75,CNC,XR29657,1000000011365978,2,1,NSE:COALINDIA-EQ,1685340446,29-May-2023 11:37:26,101000000020374,10,10
4,23052900139138-1979970,23052900139138,29,243.35,7057.15,CNC,XR29657,1000000011316018,2,-1,NSE:COALINDIA-EQ,1685340388,29-May-2023 11:36:28,101000000020374,10,10
5,23052900117253-51852976,23052900117253,19,158.75,3016.25,CNC,XR29657,1200000010103922,2,1,NSE:ONGC-EQ,1685338289,29-May-2023 11:01:29,10100000002475,10,10
6,23052900117356-27016192,23052900117356,4,422.9,1691.6,CNC,XR29657,1100000010959298,2,-1,NSE:HINDALCO-EQ,1685338297,29-May-2023 11:01:37,10100000001363,10,10
7,23052900123765-1761461,23052900123765,29,243.15,7051.35,CNC,XR29657,1000000009993789,2,-1,NSE:COALINDIA-EQ,1685338888,29-May-2023 11:11:28,101000000020374,10,10
8,23052900117454-1682423,23052900117454,22,450.24,9905.28,CNC,XR29657,1000000009460240,2,1,NSE:BANKBEES-EQ,1685338303,29-May-2023 11:01:43,101000000011439,10,10
9,23052900117395-51854128,23052900117395,6,176.6,1059.6,CNC,XR29657,1200000010112169,2,-1,NSE:NTPC-EQ,1685338299,29-May-2023 11:01:39,101000000011630,10,10
