"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 04-Apr-2022","30 D % CHNG 
 03-Mar-2023"
"NIFTY 50","17,533.85","17,638.70","17,502.85","17,557.05","17,583.35","26.30","0.15","177,877,649","176,120,503,204.90","18,887.60","15,183.40","-2.23","-0.87"
"ADANIENT","1,705.00","1,793.65","1,688.15","1,698.00","1,769.25","71.25","4.20","4,902,622","8,571,450,147.48","4,190.00","1,017.45","-20.65","-14.37"
"TATAMOTORS","426.50","439.30","423.75","426.55","437.30","10.75","2.52","8,213,275","3,552,323,570.25","494.40","366.20","-6.88","-3.08"
"BAJFINANCE","5,761.00","5,932.90","5,705.55","5,761.30","5,904.80","143.50","2.49","1,310,857","7,682,959,094.14","7,778.00","5,220.00","-22.02","-6.09"
"BAJAJFINSV","1,279.30","1,311.45","1,271.35","1,279.30","1,305.00","25.70","2.01","1,473,463","1,907,589,403.69","1,844.00","1,072.72","-92.39","-7.35"
"HDFCLIFE","506.10","516.90","505.25","507.75","516.15","8.40","1.65","1,936,643","991,696,781.01","620.60","457.80","-10.87","3.59"
"ADANIPORTS","637.00","651.35","631.55","636.75","646.25","9.50","1.49","5,675,640","3,648,868,956.00","987.85","395.10","-24.92","-7.82"
"INDUSINDBK","1,067.20","1,093.45","1,064.25","1,067.20","1,081.70","14.50","1.36","2,365,402","2,561,162,669.52","1,275.80","763.20","9.65","-4.77"
"BPCL","329.30","333.50","329.05","328.05","332.20","4.15","1.27","1,827,641","605,387,804.84","398.80","288.05","-13.67","1.08"
"SUNPHARMA","997.15","1,012.90","993.40","997.15","1,009.60","12.45","1.25","921,303","925,983,219.24","1,072.15","789.90","7.32","3.30"
"SBILIFE","1,108.90","1,120.00","1,105.00","1,105.55","1,118.70","13.15","1.19","577,779","642,449,803.47","1,340.35","1,033.20","-1.14","-2.05"
"SBIN","524.00","533.70","521.65","523.00","528.50","5.50","1.05","17,497,005","9,258,540,195.75","629.55","430.70","2.67","-6.89"
"DIVISLAB","2,889.80","2,935.00","2,877.65","2,889.80","2,916.15","26.35","0.91","245,573","715,341,870.35","4,640.80","2,730.00","-35.22","1.51"
"M&M","1,154.00","1,172.00","1,148.30","1,155.45","1,165.20","9.75","0.84","1,383,496","1,608,964,343.12","1,397.00","822.30","38.12","-9.05"
"LT","2,257.75","2,291.65","2,254.45","2,257.75","2,275.00","17.25","0.76","1,990,950","4,529,510,797.50","2,297.65","1,456.35","22.97","5.45"
"EICHERMOT","2,948.70","2,970.00","2,926.00","2,933.75","2,953.75","20.00","0.68","471,163","1,391,688,287.99","3,889.65","2,310.00","15.35","-7.34"
"RELIANCE","2,318.15","2,354.00","2,318.15","2,325.85","2,341.30","15.45","0.66","7,004,620","16,397,255,050.40","2,856.15","2,180.00","-11.43","-3.44"
"HDFC","2,700.00","2,728.00","2,691.05","2,705.95","2,717.45","11.50","0.42","4,425,745","12,013,507,772.70","2,780.00","2,026.00","3.13","1.17"
"BHARTIARTL","762.60","768.70","759.10","763.45","766.45","3.00","0.39","1,112,582","851,269,865.66","860.55","628.75","-0.41","-0.41"
"TATACONSUM","727.30","730.45","722.50","727.40","730.15","2.75","0.38","565,709","411,570,268.77","861.15","686.60","-9.82","1.93"
"HDFCBANK","1,648.55","1,664.00","1,647.10","1,653.75","1,660.00","6.25","0.38","17,850,041","29,589,120,463.65","1,702.40","1,271.60","2.83","1.63"
"GRASIM","1,664.15","1,674.00","1,650.30","1,659.25","1,665.30","6.05","0.36","492,876","821,057,484.60","1,839.50","1,276.60","-2.53","3.80"
"MARUTI","8,464.00","8,535.00","8,377.10","8,447.05","8,477.25","30.20","0.36","225,848","1,911,873,332.88","9,769.00","7,062.35","8.83","-2.14"
"BAJAJ-AUTO","4,028.00","4,065.00","4,020.05","4,023.15","4,037.50","14.35","0.36","271,196","1,096,038,634.00","4,131.75","3,460.00","5.60","8.06"
"HINDALCO","401.00","406.50","398.75","403.30","404.70","1.40","0.35","3,203,895","1,292,002,697.70","590.95","308.95","-31.28","-2.70"
"KOTAKBANK","1,750.00","1,761.45","1,739.35","1,751.90","1,756.00","4.10","0.23","1,106,968","1,941,522,244.88","1,997.55","1,631.00","-2.79","0.05"
"ASIANPAINT","2,807.45","2,825.00","2,786.80","2,808.50","2,813.20","4.70","0.17","447,382","1,257,250,791.68","3,582.90","2,560.00","-10.58","-1.96"
"ITC","386.65","390.30","384.20","386.40","387.00","0.60","0.16","10,543,046","4,077,417,610.04","394.00","249.15","48.93","-0.45"
"ULTRACEMCO","7,690.00","7,730.00","7,668.85","7,691.95","7,701.20","9.25","0.12","171,680","1,323,306,006.40","7,737.00","5,157.05","14.36","6.82"
"DRREDDY","4,693.95","4,711.20","4,675.95","4,682.80","4,686.65","3.85","0.08","150,931","708,346,350.58","4,711.20","3,789.85","8.15","5.49"
"APOLLOHOSP","4,217.00","4,225.00","4,183.15","4,200.95","4,203.00","2.05","0.05","214,793","902,858,748.27","4,903.65","3,361.55","-7.76","-4.98"
"NTPC","176.40","176.60","174.90","175.90","175.50","-0.40","-0.23","4,403,018","774,182,654.94","182.95","134.95","17.97","-0.51"
"UPL","734.00","734.00","723.00","732.30","730.45","-1.85","-0.25","901,832","656,506,641.04","848.00","607.50","-7.72","2.99"
"JSWSTEEL","688.00","688.00","680.25","686.55","684.75","-1.80","-0.26","579,841","396,744,607.43","790.00","520.05","-6.39","1.82"
